timestamp,open,high,low,close,volume
2026-03-25 04:45:00+00:00,1.3357,1.3359,1.3332,1.334,83305.5
2026-03-25 05:00:00+00:00,1.334,1.3341,1.3254,1.3256,255598.5
2026-03-25 05:15:00+00:00,1.3256,1.3276,1.3255,1.3259,106541.9
2026-03-25 05:30:00+00:00,1.326,1.3274,1.3248,1.3274,67196.2
2026-03-25 05:45:00+00:00,1.3275,1.3295,1.3267,1.3276,93769.6
2026-03-25 06:00:00+00:00,1.3277,1.3286,1.3244,1.3281,157246.6
2026-03-25 06:15:00+00:00,1.328,1.3292,1.326,1.3288,42778.7
2026-03-25 06:30:00+00:00,1.3287,1.3288,1.3264,1.3278,39747.9
2026-03-25 06:45:00+00:00,1.3277,1.3278,1.3236,1.3242,41316.0
2026-03-25 07:00:00+00:00,1.3242,1.3307,1.3237,1.3306,51032.7
2026-03-25 07:15:00+00:00,1.3306,1.3306,1.3261,1.3275,48530.0
2026-03-25 07:30:00+00:00,1.3276,1.3304,1.327,1.3274,90715.5
2026-03-25 07:45:00+00:00,1.3274,1.3297,1.3273,1.328,53728.8
2026-03-25 08:00:00+00:00,1.328,1.331,1.328,1.3291,68170.6
2026-03-25 08:15:00+00:00,1.329,1.3326,1.3281,1.3314,85746.1
2026-03-25 08:30:00+00:00,1.3314,1.334,1.33,1.3329,99234.7
2026-03-25 08:45:00+00:00,1.3329,1.334,1.3318,1.3329,73070.5
2026-03-25 09:00:00+00:00,1.3329,1.3334,1.3254,1.3274,315283.5
2026-03-25 09:15:00+00:00,1.3275,1.3297,1.3266,1.3293,60115.9
2026-03-25 09:30:00+00:00,1.3294,1.3306,1.3285,1.3291,70115.6
2026-03-25 09:45:00+00:00,1.3292,1.3328,1.3284,1.3311,54771.2
2026-03-25 10:00:00+00:00,1.3311,1.3331,1.3302,1.3326,94427.2
2026-03-25 10:15:00+00:00,1.3326,1.3334,1.3316,1.3333,56683.0
2026-03-25 10:30:00+00:00,1.3334,1.3348,1.3333,1.3344,51967.2
2026-03-25 10:45:00+00:00,1.3345,1.3369,1.3338,1.3361,105778.8
2026-03-25 11:00:00+00:00,1.336,1.3382,1.3356,1.3381,73539.0
2026-03-25 11:15:00+00:00,1.3382,1.3405,1.337,1.3374,75961.9
