timestamp,open,high,low,close,volume
2026-04-16 18:30:00+00:00,336.22,338.17,336.22,338.14,8257.856
2026-04-16 18:45:00+00:00,338.14,343.94,338.13,343.15,30672.023
2026-04-16 19:00:00+00:00,343.16,343.61,340.71,341.24,17037.859
2026-04-16 19:15:00+00:00,341.24,342.67,340.81,341.65,9257.232
2026-04-16 19:30:00+00:00,341.65,344.0,341.29,343.38,14948.563
2026-04-16 19:45:00+00:00,343.4,345.4,342.39,344.79,15582.468
2026-04-16 20:00:00+00:00,344.79,345.39,341.75,343.97,22941.51
2026-04-16 20:15:00+00:00,343.97,344.0,342.02,342.3,6876.846
2026-04-16 20:30:00+00:00,342.31,342.41,341.05,341.41,9017.488
2026-04-16 20:45:00+00:00,341.42,342.75,341.11,342.64,6252.939
2026-04-16 21:00:00+00:00,342.63,344.63,342.15,344.46,9468.696
2026-04-16 21:15:00+00:00,344.46,344.79,341.05,341.67,7908.519
2026-04-16 21:30:00+00:00,341.68,342.14,340.12,340.31,7374.317
2026-04-16 21:45:00+00:00,340.31,341.19,340.07,340.83,4906.878
2026-04-16 22:00:00+00:00,340.84,342.5,338.6,338.93,11038.836
2026-04-16 22:15:00+00:00,338.93,338.94,336.68,337.91,10958.521
2026-04-16 22:30:00+00:00,337.92,338.28,337.06,338.02,5005.913
2026-04-16 22:45:00+00:00,338.03,338.34,335.49,336.06,8336.24
2026-04-16 23:00:00+00:00,336.06,337.67,335.69,337.2,5618.622
2026-04-16 23:15:00+00:00,337.21,339.66,336.97,338.1,10325.433
2026-04-16 23:30:00+00:00,338.1,339.83,337.99,339.19,6356.627
2026-04-16 23:45:00+00:00,339.2,340.11,338.52,339.93,5396.132
2026-04-17 00:00:00+00:00,339.92,341.79,339.89,341.33,10048.725
2026-04-17 00:15:00+00:00,341.34,342.3,339.32,342.21,12901.931
2026-04-17 00:30:00+00:00,342.22,342.91,340.1,340.59,9964.278
2026-04-17 00:45:00+00:00,340.59,341.82,339.71,341.27,7083.882
2026-04-17 01:00:00+00:00,341.27,341.91,339.63,341.08,6675.629
2026-04-17 01:15:00+00:00,341.08,342.23,339.34,340.04,9638.035
2026-04-17 01:30:00+00:00,340.04,342.0,339.84,340.92,8955.306
2026-04-17 01:45:00+00:00,340.91,342.85,340.05,340.73,8234.971
2026-04-17 02:00:00+00:00,340.73,340.82,337.29,337.34,11262.736
2026-04-17 02:15:00+00:00,337.33,337.53,332.43,333.22,31716.093
2026-04-17 02:30:00+00:00,333.23,334.53,332.64,334.25,12283.962
2026-04-17 02:45:00+00:00,334.25,334.79,333.29,334.39,9125.679
2026-04-17 03:00:00+00:00,334.39,334.71,333.41,334.51,5528.193
2026-04-17 03:15:00+00:00,334.52,334.71,333.55,334.14,4783.27
2026-04-17 03:30:00+00:00,334.14,335.53,332.71,334.44,13132.792
2026-04-17 03:45:00+00:00,334.4,335.38,332.99,333.21,6980.9
2026-04-17 04:00:00+00:00,333.24,335.01,332.97,334.48,6119.726
2026-04-17 04:15:00+00:00,334.47,335.56,333.93,334.79,5644.489
2026-04-17 04:30:00+00:00,334.8,335.94,334.69,335.94,4009.577
2026-04-17 04:45:00+00:00,335.93,336.26,333.52,333.73,7026.809
2026-04-17 05:00:00+00:00,333.74,333.9,329.21,330.69,38210.663
2026-04-17 05:15:00+00:00,330.69,332.3,330.41,331.14,9663.849
2026-04-17 05:30:00+00:00,331.14,332.5,331.0,331.74,5697.392
2026-04-17 05:45:00+00:00,331.74,332.57,330.75,331.14,6096.872
2026-04-17 06:00:00+00:00,331.14,331.68,329.66,330.07,8384.653
2026-04-17 06:15:00+00:00,330.07,331.8,329.93,331.58,8340.109
2026-04-17 06:30:00+00:00,331.57,332.75,331.24,332.3,8087.361
2026-04-17 06:45:00+00:00,332.31,332.53,331.45,332.44,4772.674
2026-04-17 07:00:00+00:00,332.44,335.4,332.44,333.3,19558.577
2026-04-17 07:15:00+00:00,333.3,334.62,333.06,334.2,5579.031
2026-04-17 07:30:00+00:00,334.21,335.13,333.25,335.02,5082.327
2026-04-17 07:45:00+00:00,335.03,335.55,333.81,334.33,6487.001
2026-04-17 08:00:00+00:00,334.33,335.13,334.05,334.45,5585.866
