session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-02-10,10:30,COINUSDT,LONG,165.56,162.5189,171.6422,6.4784,14.0,13.8783,-0.1178,0.0039,-0.1217,-0.9898,session_close,162.85,165.56,0.021309,ob_prox
2026-02-11,11:45,COINUSDT,SHORT,151.03,152.9621,147.1659,9.2214,13.8783,13.7548,-0.118,0.0055,-0.1235,-1.0,loss,151.03,152.66,0.008885,ob_prox
2026-02-12,14:00,COINUSDT,LONG,141.33,139.8973,144.1953,11.5336,13.7548,13.7291,-0.0188,0.0069,-0.0257,-0.1605,session_close,140.18,141.33,0.008433,ob_prox
2026-02-17,10:30,COINUSDT,LONG,166.42,158.1372,182.9857,2.3447,13.7291,13.7212,-0.0065,0.0014,-0.0079,-0.0555,session_close,158.47,166.42,0.01809,ob_prox
2026-02-18,12:00,COINUSDT,SHORT,168.4,169.7068,165.7864,15.0295,13.7212,13.9455,0.2333,0.009,0.2243,2.0,win,168.4,169.37,0.024613,ob_prox
2026-02-23,13:45,COINUSDT,SHORT,160.44,162.0037,157.3125,12.1619,13.9455,13.9556,0.0174,0.0073,0.0101,0.1471,session_close,160.44,161.64,0.008872,ob_prox
2026-02-24,10:15,COINUSDT,LONG,157.11,154.2774,162.7752,6.5794,13.9556,14.1577,0.206,0.0039,0.2021,1.7369,session_close,154.65,157.11,0.01058,ob_prox
2026-02-25,09:45,COINUSDT,LONG,174.31,166.0262,190.8776,2.5322,14.1577,14.297,0.1408,0.0015,0.1393,1.1698,session_close,166.46,174.31,0.008759,ob_prox
2026-02-26,15:30,COINUSDT,LONG,180.98,179.6232,183.6937,16.2094,14.297,14.2972,0.0099,0.0097,0.0002,0.0811,session_close,180.06,180.98,0.008069,ob_prox
2026-03-04,10:45,COINUSDT,LONG,208.93,205.5721,215.6458,7.5614,14.2972,14.288,-0.0047,0.0045,-0.0092,-0.0387,session_close,206.13,208.93,0.049167,ob_prox
2026-03-05,14:00,COINUSDT,LONG,202.71,201.0766,205.9769,15.0718,14.288,14.5219,0.2429,0.009,0.2339,2.0,win,201.64,202.71,0.009889,ob_prox
2026-03-06,12:30,COINUSDT,SHORT,197.34,199.7902,192.4396,9.9415,14.5219,14.5199,0.004,0.006,-0.002,0.0327,session_close,197.34,199.22,0.012935,ob_prox
2026-03-09,10:00,COINUSDT,SHORT,196.75,204.5122,181.2256,3.1283,14.5199,14.4698,-0.0482,0.0019,-0.0501,-0.3904,session_close,196.75,203.97,0.013966,ob_prox
2026-03-10,14:00,COINUSDT,SHORT,198.28,200.3608,194.1185,11.7202,14.4698,14.5574,0.0946,0.007,0.0876,0.7689,session_close,198.28,199.81,0.012928,ob_prox
2026-03-12,11:30,COINUSDT,LONG,195.29,192.1205,201.6291,7.6241,14.5574,14.4798,-0.073,0.0046,-0.0776,-0.59,session_close,192.65,195.29,0.009076,ob_prox
2026-03-13,10:00,COINUSDT,SHORT,201.76,204.3444,196.5912,9.6085,14.4798,14.7202,0.2462,0.0058,0.2404,2.0,win,201.76,203.8,0.008508,ob_prox
