session_date,symbol,macro_skip_day,obs_formed,opens,fill_skips,gross_pnl_usdt,fees_usdt,net_pnl_usdt,equity_end
2026-02-09,COINUSDT,False,2,0,2,0,0,0,14.0
2026-02-10,COINUSDT,False,7,1,0,-0.12,0.0,-0.12,13.8783
2026-02-11,COINUSDT,False,5,1,2,-0.12,0.01,-0.12,13.7548
2026-02-12,COINUSDT,False,6,1,2,-0.02,0.01,-0.03,13.7291
2026-02-13,COINUSDT,True,0,0,0,0.0,0.0,0.0,13.7291
2026-02-17,COINUSDT,False,11,1,1,-0.01,0.0,-0.01,13.7212
2026-02-18,COINUSDT,False,7,1,3,0.23,0.01,0.22,13.9455
2026-02-19,COINUSDT,False,7,0,7,0,0,0,13.9455
2026-02-20,COINUSDT,False,7,0,7,0,0,0,13.9455
2026-02-23,COINUSDT,False,6,1,4,0.02,0.01,0.01,13.9556
2026-02-24,COINUSDT,False,10,1,1,0.21,0.0,0.2,14.1577
2026-02-25,COINUSDT,False,5,1,0,0.14,0.0,0.14,14.297
2026-02-26,COINUSDT,False,9,1,8,0.01,0.01,0.0,14.2972
2026-02-27,COINUSDT,False,7,0,7,0,0,0,14.2972
2026-03-02,COINUSDT,False,5,0,5,0,0,0,14.2972
2026-03-03,COINUSDT,False,8,0,8,0,0,0,14.2972
2026-03-04,COINUSDT,False,4,1,1,-0.0,0.0,-0.01,14.288
2026-03-05,COINUSDT,False,9,1,6,0.24,0.01,0.23,14.5219
2026-03-06,COINUSDT,False,3,1,2,0.0,0.01,-0.0,14.5199
2026-03-09,COINUSDT,False,10,1,0,-0.05,0.0,-0.05,14.4698
2026-03-10,COINUSDT,False,7,1,5,0.09,0.01,0.09,14.5574
2026-03-11,COINUSDT,True,0,0,0,0.0,0.0,0.0,14.5574
2026-03-12,COINUSDT,False,2,1,1,-0.07,0.0,-0.08,14.4798
2026-03-13,COINUSDT,False,4,1,0,0.25,0.01,0.24,14.7202
2026-03-16,COINUSDT,False,7,1,1,0.02,0.0,0.02,14.7366
2026-03-17,COINUSDT,False,7,1,0,0.25,0.01,0.24,14.9815
2026-03-18,COINUSDT,True,0,0,0,0.0,0.0,0.0,14.9815
2026-03-19,COINUSDT,False,7,1,0,0.25,0.01,0.25,15.2266
2026-03-20,COINUSDT,False,7,0,7,0,0,0,15.2266
2026-03-23,COINUSDT,False,10,0,10,0,0,0,15.2266
2026-03-24,COINUSDT,False,7,0,7,0,0,0,15.2266
2026-03-25,COINUSDT,False,6,1,2,0.26,0.01,0.25,15.4795
2026-03-26,COINUSDT,False,5,0,5,0,0,0,15.4795
2026-03-27,COINUSDT,False,6,0,6,0,0,0,15.4795
2026-03-30,COINUSDT,False,6,0,6,0,0,0,15.4795
2026-03-31,COINUSDT,False,6,1,2,0.26,0.01,0.26,15.7363
2026-04-01,COINUSDT,False,7,1,3,-0.13,0.01,-0.14,15.5969
2026-04-02,COINUSDT,False,5,0,5,0,0,0,15.5969
2026-04-06,COINUSDT,False,5,1,2,0.13,0.01,0.13,15.7222
2026-04-07,COINUSDT,False,7,0,7,0,0,0,15.7222
2026-04-08,COINUSDT,False,7,0,7,0,0,0,15.7222
2026-04-09,COINUSDT,False,8,1,3,-0.13,0.01,-0.14,15.5812
2026-04-10,COINUSDT,True,0,0,0,0.0,0.0,0.0,15.5812
2026-04-13,COINUSDT,False,8,1,3,-0.09,0.01,-0.09,15.4865
2026-04-14,COINUSDT,False,6,1,5,0.02,0.01,0.01,15.4973
2026-04-15,COINUSDT,False,9,0,9,0,0,0,15.4973
2026-04-16,COINUSDT,False,8,0,8,0,0,0,15.4973
2026-04-17,COINUSDT,False,9,0,9,0,0,0,15.4973
2026-04-20,COINUSDT,False,8,0,8,0,0,0,15.4973
2026-04-21,COINUSDT,False,8,1,3,0.26,0.01,0.26,15.7536
2026-04-22,COINUSDT,False,5,0,5,0,0,0,15.7536
2026-04-23,COINUSDT,False,4,0,4,0,0,0,15.7536
2026-04-24,COINUSDT,False,3,1,0,0.11,0.01,0.1,15.8529
2026-04-27,COINUSDT,False,6,0,6,0,0,0,15.8529
2026-04-28,COINUSDT,False,7,1,2,-0.13,0.01,-0.14,15.7129
2026-04-29,COINUSDT,True,0,0,0,0.0,0.0,0.0,15.7129
2026-04-30,COINUSDT,False,5,0,5,0,0,0,15.7129
2026-05-01,COINUSDT,False,6,1,0,-0.07,0.0,-0.07,15.6435
2026-05-04,COINUSDT,False,5,0,5,0,0,0,15.6435
2026-05-05,COINUSDT,False,4,1,2,0.09,0.01,0.08,15.7189
2026-05-06,COINUSDT,False,4,0,4,0,0,0,15.7189
2026-05-07,COINUSDT,False,6,1,1,0.27,0.01,0.26,15.9786
2026-05-08,COINUSDT,False,6,0,6,0,0,0,15.9786
2026-05-11,COINUSDT,False,7,1,2,0.27,0.01,0.27,16.2437
2026-05-12,COINUSDT,True,0,0,0,0.0,0.0,0.0,16.2437
2026-05-13,COINUSDT,False,8,1,6,0.05,0.01,0.04,16.2827
2026-05-14,COINUSDT,False,8,0,8,0,0,0,16.2827
2026-05-15,COINUSDT,False,9,1,7,0.06,0.01,0.05,16.3368
2026-05-18,COINUSDT,False,3,0,3,0,0,0,16.3368
2026-05-19,COINUSDT,False,4,0,4,0,0,0,16.3368
2026-05-20,COINUSDT,False,6,0,6,0,0,0,16.3368
2026-05-21,COINUSDT,False,3,1,0,0.28,0.01,0.27,16.6073
2026-05-22,COINUSDT,False,6,0,6,0,0,0,16.6073
2026-05-26,COINUSDT,False,5,0,5,0,0,0,16.6073
2026-05-27,COINUSDT,False,3,0,3,0,0,0,16.6073
2026-05-28,COINUSDT,False,4,1,2,0.13,0.01,0.13,16.7333
2026-05-29,COINUSDT,False,7,1,2,0.02,0.01,0.01,16.7477
2026-06-01,COINUSDT,False,8,0,8,0,0,0,16.7477
2026-06-02,COINUSDT,False,6,1,0,0.08,0.01,0.07,16.8214
2026-06-03,COINUSDT,False,5,1,0,0.29,0.01,0.28,17.1007
2026-06-04,COINUSDT,False,6,1,3,-0.03,0.01,-0.04,17.0602
2026-06-05,COINUSDT,False,5,0,5,0,0,0,17.0602
2026-06-08,COINUSDT,False,7,1,5,0.03,0.01,0.02,17.0808
2026-06-09,COINUSDT,False,5,1,2,-0.09,0.01,-0.1,16.9813
2026-06-10,COINUSDT,True,0,0,0,0.0,0.0,0.0,16.9813
2026-06-11,COINUSDT,False,6,1,1,-0.14,0.01,-0.15,16.8304
2026-06-12,COINUSDT,False,8,1,1,-0.02,0.0,-0.02,16.8108
2026-06-15,COINUSDT,False,7,0,7,0,0,0,16.8108
2026-06-16,COINUSDT,False,11,1,5,-0.05,0.01,-0.06,16.748
2026-06-17,COINUSDT,True,0,0,0,0.0,0.0,0.0,16.748
2026-06-18,COINUSDT,False,11,1,6,0.28,0.01,0.28,17.023
2026-06-22,COINUSDT,False,12,1,8,0.01,0.01,-0.01,17.0178
2026-06-23,COINUSDT,False,6,1,4,0.13,0.01,0.13,17.1436
2026-06-24,COINUSDT,False,11,1,5,0.21,0.01,0.2,17.3435
2026-06-25,COINUSDT,False,9,1,7,-0.0,0.01,-0.01,17.333
2026-06-26,COINUSDT,False,8,0,8,0,0,0,17.333
2026-06-29,COINUSDT,False,7,1,3,0.29,0.01,0.29,17.6199
2026-06-30,COINUSDT,False,0,0,0,0,0,0,17.6199
