session_date,side,entry,exit,sl,notional_usdt,pnl_usdt_gross,fee_usdt,pnl_usdt,outcome,hold_minutes,wallet_after,entry_ms
2026-02-25,LONG,171.3198,172.3302,167.8934,544.8758,3.2137,0.4359,2.7778,win,11.0,1284.8386,1772031360000
2026-02-25,LONG,173.886,172.8659,170.4083,546.0564,-3.2033,0.4368,-3.6401,loss,3.0,1281.1985,1772032500000
2026-02-25,LONG,174.5363,177.0522,171.0456,544.5094,7.8488,0.4356,7.4132,win,26.0,1288.6117,1772033520000
2026-02-25,LONG,177.2328,183.1331,173.6881,547.66,18.2324,0.4381,17.7943,win,91.0,1306.406,1772035260000
2026-02-25,LONG,184.197,183.6986,180.513,555.2226,-1.5024,0.4442,-1.9466,loss,8.0,1304.4594,1772040960000
2026-02-25,LONG,185.0025,183.7184,181.3025,554.3952,-3.8481,0.4435,-4.2916,loss,5.0,1300.1678,1772044080000
2026-02-25,LONG,185.568,184.4426,181.8566,552.5713,-3.3512,0.4421,-3.7933,loss,11.0,1296.3745,1772046540000
2026-02-25,SHORT,183.9335,184.3531,187.6122,550.9592,-1.2569,0.4408,-1.6977,loss,27.0,1294.6768,1772050440000
2026-02-26,SHORT,182.7326,182.7101,186.3872,550.2376,0.0678,0.4402,-0.3724,win,1.0,1294.3044,1772116200000
2026-02-26,SHORT,182.2222,183.6576,185.8666,550.0794,-4.3332,0.4401,-4.7733,loss,1.0,1289.5311,1772117100000
2026-02-26,SHORT,180.6836,181.692,184.2972,548.0507,-3.0588,0.4384,-3.4972,loss,4.0,1286.0339,1772119320000
2026-02-26,SHORT,179.8184,181.0267,183.4148,546.5644,-3.6727,0.4373,-4.11,loss,2.0,1281.9239,1772120040000
2026-02-26,SHORT,181.3482,181.0771,184.9752,544.8177,0.8145,0.4359,0.3786,win,21.0,1282.3025,1772124300000
2026-02-26,SHORT,179.8964,179.8978,183.4943,544.9786,-0.0042,0.436,-0.4402,loss,16.0,1281.8623,1772126100000
2026-02-26,SHORT,178.7177,178.2547,182.2921,544.7915,1.4114,0.4358,0.9756,win,40.0,1282.8379,1772127420000
2026-02-26,LONG,179.483,180.3258,175.8934,545.2061,2.5599,0.4362,2.1237,win,54.0,1284.9616,1772132640000
2026-02-26,LONG,181.7381,180.3555,178.1034,546.1087,-4.1547,0.4369,-4.5916,loss,1061.0,1280.37,1772138940000
2026-02-27,SHORT,179.9849,174.3134,183.5846,544.1572,17.1468,0.4353,16.7115,win,5.0,1297.0815,1772202660000
2026-02-27,SHORT,176.8127,173.6078,180.3489,551.2596,9.9919,0.441,9.5509,win,5.0,1306.6324,1772203260000
2026-02-27,SHORT,174.4524,173.3256,177.9415,555.3188,3.587,0.4443,3.1427,win,7.0,1309.7751,1772203860000
2026-02-27,LONG,177.8446,177.5581,174.2877,556.6544,-0.8967,0.4453,-1.342,loss,19.0,1308.4331,1772209440000
2026-02-27,SHORT,175.9339,175.6037,179.4525,556.0841,1.0436,0.4449,0.5987,win,31.0,1309.0318,1772212920000
2026-02-27,SHORT,173.9812,173.9102,177.4608,556.3385,0.2268,0.4451,-0.2183,win,63.0,1308.8135,1772216460000
2026-02-27,LONG,174.7671,174.8499,171.2717,556.2457,0.2637,0.445,-0.1813,win,3979.0,1308.6322,1772223060000
