day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-07-01,COIN,15:50,down,160.71,164.52,164.52,160.89,2.26,85.9,85.9,0.87,+,0.87,+,0.87,+,N
2026-07-01,COIN,15:55,down,159.31,163.68,163.68,160.55,1.96,85.9,85.9,0.0,-,0.0,-,0.0,-,N
2026-07-02,COIN,09:30,up,170.52,164.03,166.73,164.03,1.58,83.1,83.1,0.43,+,-0.15,-,-2.26,-,N
2026-07-02,COIN,09:40,up,172.99,164.03,171.31,164.03,4.21,83.2,83.2,-1.24,-,-1.05,-,-3.39,-,N
2026-07-02,COIN,13:45,down,163.65,168.26,168.26,163.7,2.79,85.8,85.8,-0.46,-,-0.9,-,-1.01,-,N
2026-07-03,COIN,09:55,up,166.76,165.49,166.72,165.49,0.74,83.1,83.1,-0.13,-,-0.38,-,0.05,+,N
2026-06-25,SNDK,09:30,up,2263.58,2202.06,2244.77,2202.06,1.89,88.1,88.1,0.88,+,-5.7,-,-3.27,-,Y
2026-06-25,SNDK,09:35,up,2283.43,2204.22,2274.08,2204.22,3.06,88.2,88.2,-2.08,-,-7.9,-,-3.08,-,Y
2026-06-25,SNDK,09:55,down,2103.0,2292.0,2292.0,2133.69,7.53,84.8,84.8,-1.61,-,-1.79,-,-5.06,-,N
2026-06-25,SNDK,13:55,up,2305.56,2214.3,2296.0,2214.3,3.54,87.7,87.7,-0.38,-,-0.12,-,-0.75,-,N
2026-06-25,SNDK,14:25,up,2316.2,2220.1,2308.11,2220.1,3.8,87.7,87.7,-0.82,-,-0.73,-,0.66,+,N
2026-06-25,SNDK,15:50,up,2325.7,2241.65,2317.05,2241.65,3.24,87.8,87.8,0.25,+,0.25,+,0.25,+,N
2026-06-25,SNDK,15:55,up,2331.49,2267.48,2329.59,2267.48,2.66,87.9,87.9,0.0,-,0.0,-,0.0,-,N
2026-06-26,SNDK,09:30,down,2145.66,2273.44,2273.44,2146.31,5.92,85.3,85.3,0.21,+,-1.0,-,-0.48,-,N
2026-06-26,SNDK,09:35,down,2141.07,2228.06,2228.06,2143.3,3.96,85.4,85.4,-0.71,-,-2.99,-,-0.49,-,Y
2026-06-26,SNDK,09:45,down,2138.07,2228.06,2228.06,2140.4,4.1,85.5,85.5,-1.36,-,-4.98,-,-1.47,-,Y
2026-06-26,SNDK,10:05,up,2244.5,2128.0,2233.86,2128.0,4.72,87.5,87.5,-0.22,-,-0.92,-,-3.74,-,N
2026-06-26,SNDK,14:25,down,2116.87,2186.46,2186.46,2120.4,3.12,84.9,84.9,0.01,+,-0.16,-,1.16,+,N
2026-06-26,SNDK,15:00,down,2108.56,2186.46,2186.46,2113.73,3.45,85.0,85.0,-1.03,-,-0.65,-,0.77,+,N
2026-06-26,SNDK,15:50,down,2098.35,2181.13,2181.13,2108.28,3.47,85.2,85.2,0.28,+,0.28,+,0.28,+,N
2026-06-29,SNDK,09:35,down,1998.08,2148.68,2148.68,2042.3,5.32,85.6,85.6,-0.46,-,3.47,+,3.26,+,N
2026-06-29,SNDK,09:50,down,1963.11,2121.78,2121.78,1968.28,7.82,85.7,85.7,1.75,+,2.58,+,0.24,+,N
2026-06-29,SNDK,09:55,down,1928.67,2121.78,2121.78,1961.3,8.32,85.8,85.8,-0.22,-,0.39,+,-2.52,-,N
2026-06-29,SNDK,10:10,down,1912.46,2121.78,2121.78,1926.32,10.22,85.9,85.9,-0.45,-,-2.32,-,-4.16,-,N
2026-06-30,SNDK,10:30,up,2186.2,2069.7,2176.45,2069.7,4.88,87.0,87.0,0.75,+,-0.49,-,0.79,+,N
2026-06-30,SNDK,10:35,up,2202.57,2069.7,2191.61,2069.7,5.53,87.1,87.1,-0.62,-,-1.9,-,0.1,+,N
2026-06-30,SNDK,13:40,up,2224.77,2069.7,2208.0,2069.7,6.22,87.2,87.2,0.52,+,0.44,+,1.34,+,N
2026-06-30,SNDK,13:45,up,2236.31,2175.67,2227.55,2175.67,2.32,87.3,87.3,0.02,+,0.21,+,0.81,+,N
2026-06-30,SNDK,13:50,up,2236.76,2176.29,2236.54,2176.29,2.69,87.3,87.3,-0.18,-,0.26,+,1.02,+,N
2026-06-30,SNDK,14:25,up,2250.7,2181.39,2249.53,2181.39,3.03,87.4,87.4,-0.17,-,0.67,+,0.75,+,N
2026-06-30,SNDK,14:40,up,2263.8,2185.14,2253.68,2185.14,3.03,87.5,87.5,0.09,+,-0.28,-,0.16,+,N
2026-06-30,SNDK,14:45,up,2265.81,2185.14,2264.54,2185.14,3.5,87.6,87.6,-0.47,-,-0.92,-,0.08,+,N
2026-06-30,SNDK,15:50,up,2273.26,2185.14,2268.8,2185.14,3.68,87.7,87.7,-0.25,-,-0.25,-,-0.25,-,N
2026-07-01,SNDK,09:30,down,2074.27,2205.0,2205.0,2079.31,6.06,87.0,87.0,-0.73,-,-1.98,-,1.26,+,N
2026-07-01,SNDK,10:35,down,2061.17,2196.7,2196.7,2067.28,6.28,87.1,87.1,1.23,+,1.44,+,-0.34,-,N
2026-07-01,SNDK,10:40,down,2035.8,2140.09,2140.09,2050.37,4.41,87.2,87.2,-0.06,-,-0.41,-,-1.34,-,N
2026-07-01,SNDK,10:55,down,2031.49,2131.73,2131.73,2035.53,4.74,87.3,87.3,-0.62,-,-1.49,-,-1.28,-,N
2026-07-01,SNDK,14:30,down,2014.59,2131.73,2131.73,2019.27,5.58,87.4,87.4,-0.29,-,0.19,+,-0.98,-,N
2026-07-01,SNDK,14:45,down,2011.3,2069.44,2069.44,2014.26,2.74,87.5,87.5,0.03,+,-1.37,-,-1.14,-,N
2026-07-02,SNDK,10:20,down,1939.31,2110.68,2110.68,1944.02,8.59,87.6,87.6,1.69,+,4.39,+,6.83,+,N
2026-07-02,SNDK,10:25,down,1906.62,2110.68,2110.68,1931.76,9.38,87.7,87.7,0.85,+,3.18,+,5.36,+,N
2026-07-02,SNDK,10:30,down,1890.48,2110.68,2110.68,1906.36,10.81,87.8,87.8,0.12,+,2.9,+,3.87,+,N
2026-07-02,SNDK,10:35,down,1888.28,2099.64,2099.64,1889.74,11.12,87.9,87.9,1.81,+,2.62,+,4.41,+,N
2026-07-02,SNDK,10:40,down,1854.15,2085.74,2085.74,1884.1,10.88,87.9,87.9,0.44,+,2.59,+,4.0,+,N
2026-07-02,SNDK,10:45,down,1845.9,2084.8,2084.8,1850.8,12.68,88.0,88.0,0.55,+,1.77,+,3.32,+,N
2026-07-02,SNDK,11:00,down,1806.1,2073.91,2073.91,1834.35,13.26,88.1,88.1,-0.4,-,-0.6,-,1.96,+,N
2026-07-02,SNDK,11:10,down,1796.54,2073.91,2073.91,1805.59,14.94,88.2,88.2,0.39,+,-2.15,-,1.75,+,N
2026-07-02,SNDK,11:15,down,1789.51,2073.91,2073.91,1795.68,15.55,88.3,88.3,-1.53,-,-3.18,-,1.5,+,N
2026-07-02,SNDK,12:20,down,1779.99,2073.91,2073.91,1783.09,16.34,88.4,88.4,-0.26,-,0.52,+,3.46,+,N
2026-07-02,SNDK,12:30,down,1764.22,1917.48,1917.48,1779.05,7.85,88.4,88.4,-0.08,-,-0.05,-,2.09,+,N
2026-07-02,SNDK,13:00,down,1754.61,1888.56,1888.56,1757.48,7.47,88.5,88.5,-0.52,-,-0.58,-,0.93,+,N
2026-07-02,SNDK,13:30,down,1737.46,1857.1,1857.1,1746.05,6.39,88.6,88.6,0.59,+,0.29,+,0.61,+,N
2026-07-02,SNDK,13:35,down,1727.15,1855.74,1855.74,1737.01,6.87,88.7,88.7,-0.38,-,0.81,+,0.54,+,N
2026-07-02,SNDK,13:45,down,1724.51,1837.68,1837.68,1725.69,6.49,88.7,88.7,-0.46,-,-0.89,-,-0.07,-,N
2026-07-02,SNDK,13:55,down,1713.12,1819.23,1819.23,1719.33,5.83,88.8,88.8,-0.31,-,-0.77,-,-0.29,-,N
2026-07-02,SNDK,15:20,down,1703.86,1819.23,1819.23,1712.6,6.26,88.9,88.9,-1.28,-,-1.06,-,-2.36,-,N
2026-06-25,MSTR,09:30,down,93.02,96.62,96.62,94.5,2.28,91.4,91.4,2.05,+,6.04,+,6.59,+,N
2026-06-25,MSTR,09:35,down,91.11,96.62,96.62,91.98,5.09,91.5,91.5,1.45,+,4.74,+,4.21,+,N
2026-06-25,MSTR,09:40,down,89.79,96.62,96.62,91.08,6.17,91.5,91.5,1.12,+,1.26,+,2.51,+,N
2026-06-25,MSTR,09:45,down,88.78,96.62,96.62,89.65,7.85,91.6,91.6,1.55,+,-1.44,-,2.17,+,N
2026-06-25,MSTR,09:50,down,87.4,96.62,96.62,88.18,9.66,91.6,91.6,0.7,+,-1.8,-,0.13,+,N
2026-06-25,MSTR,09:55,down,86.79,96.62,96.62,87.1,10.97,91.6,91.6,-2.15,-,-2.43,-,-0.47,-,N
2026-06-25,MSTR,12:30,down,86.48,96.62,96.62,86.52,11.68,91.7,91.7,0.88,+,1.3,+,0.17,+,N
2026-06-25,MSTR,12:35,down,85.72,89.86,89.86,86.4,4.04,91.7,91.7,0.09,+,0.12,+,-1.46,-,N
2026-06-25,MSTR,12:50,down,85.36,89.86,89.86,85.54,5.06,91.7,91.7,-0.3,-,-0.74,-,-1.05,-,N
2026-06-26,MSTR,09:55,up,87.44,82.14,85.16,82.14,3.45,82.8,82.8,-0.83,-,-2.22,-,-0.51,-,N
2026-06-29,MSTR,13:00,up,91.5,85.36,89.57,85.36,4.6,82.6,82.6,0.49,+,1.01,+,1.67,+,N
2026-06-29,MSTR,13:05,up,91.95,85.36,91.62,85.36,6.81,82.8,82.8,0.96,+,0.79,+,1.09,+,N
2026-06-29,MSTR,13:10,up,92.83,85.96,92.06,85.96,6.57,82.9,82.9,0.61,+,-0.25,-,-0.17,-,N
2026-06-29,MSTR,13:15,up,93.4,86.0,93.18,86.0,7.69,83.1,83.1,-1.05,-,-0.67,-,-0.69,-,N
2026-06-29,MSTR,13:40,up,93.81,86.13,93.49,86.13,7.85,83.2,83.2,0.16,+,-0.25,-,-0.82,-,N
2026-06-29,MSTR,13:45,up,93.96,88.01,93.9,88.01,6.27,83.4,83.4,0.13,+,-0.77,-,-0.63,-,N
2026-06-30,MSTR,09:30,down,85.2,89.73,89.73,85.45,5.02,90.8,90.8,0.14,+,0.69,+,0.58,+,N
2026-06-30,MSTR,09:45,down,84.51,89.73,89.73,84.75,5.89,90.9,90.9,-0.12,-,-2.35,-,-1.15,-,N
2026-06-30,MSTR,10:50,down,83.95,89.34,89.34,84.18,6.15,90.9,90.9,-0.15,-,-0.91,-,-2.49,-,N
2026-06-30,MSTR,11:00,down,83.74,88.35,88.35,83.86,5.36,90.9,90.9,-0.51,-,-1.77,-,-2.1,-,N
2026-07-01,MSTR,09:30,up,89.44,86.06,87.93,86.06,2.09,82.3,82.3,0.45,+,3.31,+,7.56,+,N
2026-07-01,MSTR,09:40,up,91.67,86.06,90.0,86.06,4.3,82.4,82.4,0.08,+,2.49,+,6.2,+,N
2026-07-01,MSTR,09:50,up,92.4,86.06,91.82,86.06,6.23,82.6,82.6,0.79,+,3.57,+,5.23,+,N
2026-07-01,MSTR,10:00,up,93.95,86.06,93.13,86.06,7.53,82.7,82.7,0.7,+,0.82,+,3.32,+,N
2026-07-01,MSTR,10:05,up,94.61,86.06,94.16,86.06,8.56,82.8,82.8,1.15,+,-0.32,-,2.34,+,N
2026-07-01,MSTR,10:10,up,95.7,86.06,94.63,86.06,8.96,83.0,83.0,-0.85,-,-1.77,-,0.73,+,N
2026-07-01,MSTR,11:05,up,96.09,86.06,96.02,86.06,10.37,83.1,83.1,0.11,+,0.97,+,1.98,+,N
2026-07-01,MSTR,11:20,up,97.35,86.27,96.42,86.27,10.43,83.2,83.2,-0.34,-,-0.29,-,-0.29,-,N
2026-07-01,MSTR,12:10,up,98.01,86.27,97.74,86.27,11.7,83.4,83.4,0.38,+,-0.18,-,-0.5,-,N
2026-07-02,MSTR,09:30,up,101.42,98.21,101.31,98.21,3.06,90.0,90.0,0.57,+,1.13,+,-1.69,-,N
2026-07-03,MSTR,10:55,up,105.58,103.03,105.19,103.03,2.05,84.0,84.0,0.06,+,0.18,+,-0.35,-,N
