day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-06-30,SOXL,14:35,up,267.52,260.86,267.18,260.86,2.36,90.4,90.4,0.67,+,0.56,+,-0.17,-,N
2026-06-30,SOXL,14:40,up,269.3,262.61,267.74,262.61,1.9,90.4,90.4,0.29,+,0.01,+,-0.83,-,N
2026-06-30,SOXL,14:45,up,270.09,262.76,269.4,262.76,2.46,90.4,90.4,-0.24,-,0.1,+,-1.12,-,N
2026-06-30,SOXL,15:05,up,270.35,262.76,270.23,262.76,2.76,90.5,90.5,-0.03,-,-0.26,-,-1.21,-,N
2026-07-01,SOXL,09:30,down,234.59,258.16,258.16,236.63,9.18,88.2,88.2,1.21,+,-2.49,-,2.3,+,N
2026-07-01,SOXL,09:35,down,231.75,258.03,258.03,233.1,10.76,88.3,88.3,-1.87,-,-4.64,-,0.0,-,N
2026-07-01,SOXL,10:40,down,228.51,257.97,257.97,230.42,12.06,88.4,88.4,0.81,+,-1.38,-,-0.7,-,N
2026-07-01,SOXL,10:45,down,226.65,246.75,246.75,228.31,8.14,88.4,88.4,-1.0,-,-0.07,-,-0.6,-,N
2026-07-01,SOXL,13:00,down,224.14,246.75,246.75,225.33,9.56,88.5,88.5,0.59,+,-0.55,-,2.51,+,N
2026-07-01,SOXL,13:05,down,222.81,233.37,233.37,223.19,4.57,88.6,88.6,-0.33,-,-0.52,-,2.5,+,N
2026-07-01,SOXL,13:45,down,221.53,233.37,233.37,222.42,4.94,88.6,88.6,-0.12,-,-0.01,-,-1.93,-,N
2026-07-01,SOXL,13:55,down,220.85,230.91,230.91,221.14,4.42,88.7,88.7,-0.14,-,-0.15,-,-0.88,-,N
2026-07-01,SOXL,14:25,down,220.31,230.91,230.91,220.63,4.67,88.8,88.8,0.1,+,1.39,+,1.37,+,N
